	Nouns	Verbs																															
ts percentage of total phonemes:	0.21	0.33					kw% #3:	0.222222222222222	0																								
Frequency at syllable #1:	11	7					kw% #4:	0.177777777777778	0																								
Frequency at syllable #2:	2	2					kw% #5:	0.022222222222222	0																								
Frequency at syllable #3:	0	0					kw% #6:	0	0																								
Frequency at syllable #4:	0	0					khw% #1:	0.333333333333333	0.357142857142857																								
Frequency at syllable #5:	0	0					khw% #2:	0.666666666666667	0.357142857142857																								
Frequency at syllable #6:	0	0					khw% #3:	0	0.25																								
tsh frequency:	0	6					khw% #4:	0	0.035714285714286																								
tsh percentage of total phonemes:	0	0.22					khw% #5:	0	0																								
Frequency at syllable #1:	0	3					khw% #6:	0	0																								
Frequency at syllable #2:	0	2					z% #1:	0.235294117647059	0.5																								
Frequency at syllable #3:	0	1					z% #2:	0.470588235294118	0.25																								
Frequency at syllable #4:	0	0					z% #3:	0.235294117647059	0.25																								
Frequency at syllable #5:	0	0					z% #4:	0.058823529411765	0																								
Frequency at syllable #6:	0	0					z% #5:	0	0																								
tl frequency:	7	15					z% #6:	0	0																								
tl percentage of total phonemes:	0.12	0.54					ts% #1:	0.846153846153846	0.25																								
Frequency at syllable #1:	4	8					ts% #2:	0.153846153846154	0.75																								
Frequency at syllable #2:	3	6					ts% #3:	0	0																								
Frequency at syllable #3:	0	0					ts% #4:	0	0																								
Frequency at syllable #4:	0	1					ts% #5:	0	0																								
Frequency at syllable #5:	0	0					ts% #6:	0	0																								
Frequency at syllable #6:	0	0					tl% #1:	0.571428571428571	0.777777777777778																								
tlh frequency:	10	17					tl% #2:	0.428571428571429	0.222222222222222																								
tlh percentage of total phonemes:	0.16	0.62					tl% #3:	0	0																								
Frequency at syllable #1:	9	7					tl% #4:	0	0																								
Frequency at syllable #2:	1	9					tl% #5:	0	0																								
Frequency at syllable #3:	0	1					tl% #6:	0	0																								
Frequency at syllable #4:	0	0					tlh% #1:	0.9	0.5																								
Frequency at syllable #5:	0	0					tlh% #2:	0.1	0.333333333333333																								
Frequency at syllable #6:	0	0					tlh% #3:	0	0.166666666666667																								
j frequency:	18	1					tlh% #4:	0	0																								
j percentage of total phonemes:	0.3	0.04					tlh% #5:	0	0																								
Frequency at syllable #1:	8	0					tlh% #6:	0	0																								
Frequency at syllable #2:	6	0					j% #1:	0.444444444444444	0.533333333333333																								
Frequency at syllable #3:	1	1					j% #2:	0.333333333333333	0.4																								
Frequency at syllable #4:	2	0					j% #3:	0.055555555555556	0																								
Frequency at syllable #5:	0	0					j% #4:	0.111111111111111	0.066666666666667																								
Frequency at syllable #6:	1	0					j% #5:	0	0																								
tc frequency:	26	14					j% #6:	0.055555555555556	0																								
tc percentage of total phonemes:	0.43	0.51					tc% #1:	0.538461538461538	0.411764705882353																								
Frequency at syllable #1:	14	10					tc% #2:	0.230769230769231	0.529411764705882																								
Frequency at syllable #2:	6	2					tc% #3:	0.153846153846154	0.058823529411765																								
Frequency at syllable #3:	4	2					tc% #4:	0.038461538461539	0																								
Frequency at syllable #4:	1	0					tc% #5:	0.038461538461539	0																								
Frequency at syllable #5:	1	0					tc% #6:	0	0																								
Frequency at syllable #6:	0	0					tch% #1:	0.111111111111111	0																								
tch frequency:	18	20					tch% #2:	0.333333333333333	0																								
tch percentage of total phonemes:	0.3	0.72					tch% #3:	0.388888888888889	1																								
Frequency at syllable #1:	2	7					tch% #4:	0.166666666666667	0																								
Frequency at syllable #2:	6	7					tch% #5:	0	0																								
Frequency at syllable #3:	7	6					tch% #6:	0	0																								
Frequency at syllable #4:	3	0					nc% #1:	1	0.714285714285714																								
Frequency at syllable #5:	0	0					nc% #2:	0	0.142857142857143																								
Frequency at syllable #6:	0	0					nc% #3:	0	0.142857142857143																								
nc frequency:	8	16					nc% #4:	0	0																								
nc percentage of total phonemes:	0.13	0.58					nc% #5:	0	0																								
Frequency at syllable #1:	8	13					nc% #6:	0	0																								
Frequency at syllable #2:	0	2					nq% #1:	0.636363636363636	0.35																								
Frequency at syllable #3:	0	1					nq% #2:	0.181818181818182	0.35																								
Frequency at syllable #4:	0	0					nq% #3:	0	0.3																								
Frequency at syllable #5:	0	0					nq% #4:	0.181818181818182	0																								
Frequency at syllable #6:	0	0					nq% #5:	0	0																								
nq frequency:	11	11					nq% #6:	0	0																								
nq percentage of total phonemes:	0.18	0.4					nx% #1:	1	0.8125																								
Frequency at syllable #1:	7	5					nx% #2:	0	0.125																								
Frequency at syllable #2:	2	5					nx% #3:	0	0.0625																								
Frequency at syllable #3:	0	1					nx% #4:	0	0																								
Frequency at syllable #4:	2	0					nx% #5:	0	0																								
Frequency at syllable #5:	0	0					nx% #6:	0	0																								
Frequency at syllable #6:	0	0					m% #1:	0.484978540772532	0.454545454545455																								
nx frequency:	3	16					m% #2:	0.248927038626609	0.454545454545455																								
nx percentage of total phonemes:	0.05	0.58					m% #3:	0.214592274678112	0.090909090909091																								
Frequency at syllable #1:	3	15					m% #4:	0.042918454935622	0																								
Frequency at syllable #2:	0	1					m% #5:	0.008583690987124	0																								
Frequency at syllable #3:	0	0					m% #6:	0	0																								
Frequency at syllable #4:	0	0					n% #1:	0.186813186813187	0.9375																								
Frequency at syllable #5:	0	0					n% #2:	0.340659340659341	0.0625																								
Frequency at syllable #6:	0	0					n% #3:	0.318681318681319	0																								
